                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6308,                 19.691,                 1.1789,                0.49652,                0.31401,                0.33982,                0.24382,                  1.046,                 7.7608,                 1.0043,             5.5478e-05,             5.5478e-05,             5.5478e-05
                      2,                 1.0331,                 7.1316,                 1.0083,                0.74206,                0.42814,                0.45469,                0.32949,                 0.9531,                 5.0371,                0.99122,             0.00011004,             0.00011004,             0.00011004
                      3,                0.93812,                 5.2208,                0.99728,                0.73826,                0.46721,                0.50199,                0.37365,                0.88051,                 4.1611,                0.97685,             0.00016351,             0.00016351,             0.00016351
                      4,                0.88039,                 4.3077,                0.98523,                0.66629,                0.50969,                0.53681,                 0.3979,                0.83217,                 3.6828,                 0.9726,             0.00016204,             0.00016204,             0.00016204
                      5,                0.84248,                 3.8963,                0.98266,                0.67219,                0.52287,                0.55098,                0.40787,                0.81415,                 3.4861,                0.97267,             0.00016039,             0.00016039,             0.00016039
                      6,                0.82945,                 3.5739,                0.97913,                0.66275,                0.56238,                0.57471,                0.42424,                 0.7922,                 3.3609,                0.96493,             0.00015873,             0.00015873,             0.00015873
                      7,                0.79412,                 3.3652,                0.97579,                0.68027,                 0.5581,                0.57754,                0.42718,                0.76083,                 3.2299,                0.96399,             0.00015708,             0.00015708,             0.00015708
                      8,                0.78433,                 3.2371,                 0.9738,                0.65927,                0.59174,                0.60143,                0.43838,                0.76453,                 3.0091,                0.96504,             0.00015543,             0.00015543,             0.00015543
                      9,                0.76358,                 2.9847,                0.97305,                0.67185,                0.58192,                0.60303,                 0.4467,                0.74942,                 3.0291,                0.96517,             0.00015377,             0.00015377,             0.00015377
                     10,                 0.7638,                 2.9583,                0.97062,                0.69125,                0.61499,                0.63158,                0.46178,                0.73725,                 2.9383,                0.96061,             0.00015212,             0.00015212,             0.00015212
                     11,                0.76312,                  2.917,                0.96762,                0.69901,                0.59847,                0.62571,                0.45861,                0.73007,                 2.8529,                0.95939,             0.00015047,             0.00015047,             0.00015047
                     12,                0.73655,                 2.7659,                0.96776,                0.70767,                0.65396,                0.66788,                0.49681,                0.73049,                 2.8496,                0.95939,             0.00014881,             0.00014881,             0.00014881
                     13,                0.73457,                 2.7448,                0.96604,                0.69948,                0.64265,                0.66969,                0.48657,                0.72988,                 2.7685,                0.95976,             0.00014716,             0.00014716,             0.00014716
                     14,                0.72719,                 2.6641,                0.96364,                0.78999,                0.68878,                0.71363,                 0.5278,                0.72881,                 2.7737,                 0.9585,             0.00014551,             0.00014551,             0.00014551
                     15,                0.71897,                 2.6043,                 0.9663,                0.73173,                0.65754,                0.68566,                0.52109,                0.71327,                 2.7474,                0.95768,             0.00014385,             0.00014385,             0.00014385
                     16,                0.70229,                 2.5244,                0.96187,                0.77963,                0.71095,                0.72908,                0.53983,                0.72071,                 2.7125,                0.95837,              0.0001422,              0.0001422,              0.0001422
                     17,                0.70989,                 2.5487,                0.96222,                0.79625,                0.70055,                0.72929,                0.54356,                0.70637,                 2.6473,                0.95736,             0.00014055,             0.00014055,             0.00014055
                     18,                0.70387,                  2.544,                0.95877,                0.78247,                 0.7555,                  0.781,                0.56932,                0.70509,                 2.6831,                0.95609,             0.00013889,             0.00013889,             0.00013889
                     19,                0.69739,                 2.4575,                0.96072,                 0.7955,                0.78042,                0.79777,                0.57095,                0.70218,                 2.6086,                0.95571,             0.00013724,             0.00013724,             0.00013724
                     20,                0.69916,                  2.466,                0.96331,                0.79551,                0.73735,                0.75732,                0.55807,                0.70268,                 2.5765,                0.95629,             0.00013559,             0.00013559,             0.00013559
                     21,                0.67941,                 2.4027,                0.95705,                 0.8453,                0.77518,                0.80499,                0.59311,                0.69448,                 2.5945,                0.95466,             0.00013393,             0.00013393,             0.00013393
                     22,                0.69162,                 2.4076,                0.95976,                 0.9072,                0.84101,                  0.858,                0.61167,                0.69581,                 2.5723,                0.95461,             0.00013228,             0.00013228,             0.00013228
                     23,                0.68237,                 2.3662,                0.96069,                 0.9005,                0.81259,                0.84236,                0.61977,                0.69384,                 2.5778,                0.95484,             0.00013063,             0.00013063,             0.00013063
                     24,                0.67948,                 2.3561,                0.95979,                0.89939,                0.81367,                0.84255,                0.62397,                0.68128,                 2.5543,                0.95243,             0.00012897,             0.00012897,             0.00012897
                     25,                0.67152,                 2.3267,                0.95719,                0.90529,                0.85309,                0.87644,                0.63591,                0.68627,                 2.5648,                 0.9546,             0.00012732,             0.00012732,             0.00012732
                     26,                0.66508,                 2.3143,                0.95489,                 0.8567,                0.79189,                0.82622,                0.61583,                0.68569,                 2.5223,                 0.9537,             0.00012567,             0.00012567,             0.00012567
                     27,                0.67411,                 2.3202,                0.95786,                0.93145,                0.87757,                0.89822,                0.65476,                0.68709,                 2.5197,                0.95405,             0.00012401,             0.00012401,             0.00012401
                     28,                0.66368,                 2.2779,                0.95661,                0.93807,                0.90148,                 0.9285,                0.69066,                0.68007,                 2.5179,                0.95339,             0.00012236,             0.00012236,             0.00012236
                     29,                0.66556,                  2.276,                0.95693,                0.93318,                 0.8818,                0.92003,                0.67603,                0.67791,                 2.4803,                0.95252,             0.00012071,             0.00012071,             0.00012071
                     30,                0.65852,                 2.2219,                0.95514,                0.93592,                0.84823,                0.88551,                0.66867,                0.68125,                 2.4694,                 0.9529,             0.00011905,             0.00011905,             0.00011905
                     31,                0.66085,                 2.2574,                0.96047,                0.92501,                0.86913,                 0.9042,                0.69378,                0.67956,                 2.5051,                0.95158,              0.0001174,              0.0001174,              0.0001174
                     32,                0.64717,                  2.211,                0.95528,                0.92272,                0.89312,                0.91038,                0.68595,                 0.6758,                 2.4551,                0.95151,             0.00011575,             0.00011575,             0.00011575
                     33,                0.65046,                 2.2154,                0.95613,                0.97048,                0.90796,                 0.9417,                0.70704,                0.68339,                 2.4594,                0.95263,             0.00011409,             0.00011409,             0.00011409
                     34,                0.64759,                 2.1931,                0.95541,                 0.9028,                0.83726,                0.87233,                0.65918,                0.68201,                 2.4805,                0.95099,             0.00011244,             0.00011244,             0.00011244
                     35,                0.64059,                 2.1644,                0.95562,                 0.8908,                0.81237,                0.85486,                0.64063,                0.68126,                 2.4647,                0.95317,             0.00011079,             0.00011079,             0.00011079
                     36,                0.64411,                 2.1817,                0.95527,                0.91316,                 0.8308,                0.85979,                0.63426,                0.69373,                 2.5485,                0.95214,             0.00010913,             0.00010913,             0.00010913
                     37,                0.63813,                 2.1571,                0.95381,                0.88153,                0.81111,                0.84939,                0.63569,                0.67899,                 2.4664,                 0.9512,             0.00010748,             0.00010748,             0.00010748
                     38,                0.63309,                 2.1442,                  0.952,                0.92107,                0.87565,                0.90313,                0.68122,                0.68123,                 2.5087,                0.95184,             0.00010583,             0.00010583,             0.00010583
                     39,                0.63327,                 2.1246,                0.95412,                0.90513,                 0.8389,                0.87596,                0.66525,                0.67903,                 2.4675,                0.95157,             0.00010417,             0.00010417,             0.00010417
                     40,                0.62531,                  2.114,                0.95203,                0.93162,                0.86021,                0.89834,                0.68395,                0.67647,                 2.4313,                0.95153,             0.00010252,             0.00010252,             0.00010252
                     41,                0.62673,                 2.0978,                0.95175,                0.94545,                0.86802,                0.90979,                0.69435,                0.66778,                 2.4457,                0.95066,             0.00010087,             0.00010087,             0.00010087
                     42,                0.61516,                 2.0823,                0.95063,                 0.9158,                0.86836,                0.90209,                0.66939,                0.66862,                 2.4538,                0.95053,             9.9215e-05,             9.9215e-05,             9.9215e-05
                     43,                0.61711,                 2.0835,                 0.9523,                0.94064,                0.86725,                0.90325,                 0.6922,                0.67626,                 2.4747,                0.95164,             9.7561e-05,             9.7561e-05,             9.7561e-05
                     44,                0.62106,                 2.0823,                0.95273,                0.96069,                0.91157,                0.94114,                 0.7247,                0.67433,                  2.494,                0.95064,             9.5908e-05,             9.5908e-05,             9.5908e-05
                     45,                0.61197,                 2.0455,                0.95468,                0.95658,                0.90008,                0.92984,                0.70312,                0.67963,                 2.4251,                0.95264,             9.4255e-05,             9.4255e-05,             9.4255e-05
                     46,                0.60942,                 2.0347,                 0.9469,                0.92147,                0.87325,                0.90768,                0.68275,                 0.6752,                 2.4827,                0.95102,             9.2601e-05,             9.2601e-05,             9.2601e-05
                     47,                0.61105,                 2.0504,                0.94948,                 0.9445,                0.89897,                0.92828,                0.70989,                0.67747,                  2.416,                0.95108,             9.0948e-05,             9.0948e-05,             9.0948e-05
                     48,                0.60166,                 2.0109,                0.95244,                0.92783,                0.86408,                0.90228,                0.68583,                0.67491,                 2.4877,                 0.9507,             8.9295e-05,             8.9295e-05,             8.9295e-05
                     49,                0.60504,                 2.0337,                0.95003,                0.91407,                0.87142,                0.89745,                0.68671,                0.67206,                  2.439,                 0.9514,             8.7642e-05,             8.7642e-05,             8.7642e-05
                     50,                0.61007,                 2.0372,                0.95105,                0.92879,                0.86945,                0.90367,                0.69669,                0.68399,                 2.4664,                0.95183,             8.5988e-05,             8.5988e-05,             8.5988e-05
                     51,                0.60236,                 2.0046,                0.95061,                0.95187,                 0.8906,                0.92587,                0.69761,                0.68008,                 2.4564,                0.95158,             8.4335e-05,             8.4335e-05,             8.4335e-05
                     52,                0.59692,                 2.0005,                0.95043,                0.94702,                0.88677,                0.92201,                0.70284,                0.67707,                 2.4626,                0.95108,             8.2682e-05,             8.2682e-05,             8.2682e-05
                     53,                0.58662,                 1.9792,                  0.946,                0.92685,                0.85162,                0.89472,                 0.6789,                 0.6757,                   2.48,                0.95163,             8.1028e-05,             8.1028e-05,             8.1028e-05
                     54,                0.59149,                  1.985,                 0.9472,                0.95715,                0.89908,                0.92981,                0.70989,                0.68715,                 2.4533,                0.95232,             7.9375e-05,             7.9375e-05,             7.9375e-05
                     55,                0.58814,                 1.9628,                0.94674,                0.96738,                 0.9163,                0.94414,                 0.7206,                0.67842,                 2.4558,                0.95137,             7.7722e-05,             7.7722e-05,             7.7722e-05
                     56,                0.58179,                 1.9559,                0.94799,                0.96164,                0.90434,                0.93783,                0.70986,                0.68619,                 2.4992,                 0.9523,             7.6068e-05,             7.6068e-05,             7.6068e-05
                     57,                 0.5857,                 1.9655,                0.94957,                0.96029,                0.91305,                0.94236,                0.71834,                0.68769,                 2.4667,                0.95222,             7.4415e-05,             7.4415e-05,             7.4415e-05
                     58,                0.57775,                 1.9494,                0.94754,                0.97424,                0.89784,                0.93624,                0.71839,                0.68072,                 2.4299,                0.95172,             7.2762e-05,             7.2762e-05,             7.2762e-05
                     59,                 0.5833,                 1.9464,                 0.9459,                0.96858,                0.91599,                0.94142,                 0.7129,                0.67776,                 2.4574,                0.95079,             7.1109e-05,             7.1109e-05,             7.1109e-05
                     60,                0.58119,                 1.9435,                0.94565,                0.96998,                0.91034,                0.94076,                0.71732,                0.67702,                 2.4182,                0.95094,             6.9455e-05,             6.9455e-05,             6.9455e-05
                     61,                0.57099,                 1.9166,                 0.9461,                0.92983,                0.86844,                0.90401,                0.69498,                0.67729,                 2.4669,                0.95098,             6.7802e-05,             6.7802e-05,             6.7802e-05
                     62,                0.57318,                 1.9294,                0.94533,                0.95754,                0.90365,                0.93092,                0.70508,                0.67955,                 2.4643,                0.95143,             6.6149e-05,             6.6149e-05,             6.6149e-05
                     63,                0.57568,                 1.9231,                0.94295,                0.97025,                0.91843,                 0.9466,                0.71604,                0.68159,                 2.4951,                0.95118,             6.4495e-05,             6.4495e-05,             6.4495e-05
                     64,                0.56334,                 1.8901,                0.94612,                0.93499,                0.87536,                0.90926,                0.69951,                0.68397,                 2.4365,                0.95162,             6.2842e-05,             6.2842e-05,             6.2842e-05
                     65,                0.56516,                 1.8999,                0.94583,                0.95804,                0.91255,                0.94266,                 0.7219,                0.68303,                 2.4757,                0.95172,             6.1189e-05,             6.1189e-05,             6.1189e-05
                     66,                0.56053,                 1.8861,                0.94416,                0.97575,                0.91693,                0.94642,                0.72056,                0.67746,                 2.4233,                0.95198,             5.9535e-05,             5.9535e-05,             5.9535e-05
                     67,                0.55803,                 1.8793,                0.94418,                0.97527,                0.92014,                0.94764,                0.72903,                0.67764,                 2.4345,                0.95113,             5.7882e-05,             5.7882e-05,             5.7882e-05
                     68,                0.55191,                 1.8542,                0.94503,                0.95653,                0.89114,                0.92384,                 0.7212,                0.68494,                 2.4461,                0.95114,             5.6229e-05,             5.6229e-05,             5.6229e-05
                     69,                0.55499,                 1.8575,                 0.9419,                0.96034,                0.89486,                0.92714,                 0.7069,                0.68003,                 2.4152,                0.95142,             5.4576e-05,             5.4576e-05,             5.4576e-05
                     70,                0.55415,                 1.8557,                0.94145,                0.97729,                0.90467,                  0.942,                0.72723,                0.68388,                 2.4659,                0.95271,             5.2922e-05,             5.2922e-05,             5.2922e-05
                     71,                0.54325,                  1.824,                0.94381,                0.97795,                0.89854,                0.93923,                0.71756,                0.68077,                 2.4521,                0.95241,             5.1269e-05,             5.1269e-05,             5.1269e-05
                     72,                0.54273,                 1.8391,                0.94236,                0.97468,                0.90943,                0.94321,                0.72467,                0.67993,                 2.4605,                0.95134,             4.9616e-05,             4.9616e-05,             4.9616e-05
                     73,                0.53915,                 1.8158,                0.94247,                  0.965,                0.90831,                0.94288,                0.71617,                0.69332,                 2.4893,                0.95217,             4.7962e-05,             4.7962e-05,             4.7962e-05
                     74,                0.54164,                 1.8312,                0.94169,                0.97454,                0.90839,                 0.9435,                0.72121,                0.68769,                 2.4716,                0.95296,             4.6309e-05,             4.6309e-05,             4.6309e-05
                     75,                0.53397,                 1.8076,                0.94267,                0.94014,                0.87688,                0.91058,                0.70468,                0.69049,                 2.4844,                0.95214,             4.4656e-05,             4.4656e-05,             4.4656e-05
                     76,                0.53825,                 1.8131,                0.94185,                0.95591,                 0.8891,                0.92305,                0.71201,                 0.6946,                 2.4761,                0.95278,             4.3003e-05,             4.3003e-05,             4.3003e-05
                     77,                0.51986,                 1.7704,                0.94131,                0.95723,                0.88398,                 0.9209,                0.71303,                0.67438,                 2.4063,                0.95124,             4.1349e-05,             4.1349e-05,             4.1349e-05
                     78,                0.52471,                 1.7779,                0.94296,                0.95669,                0.90449,                0.93998,                0.72368,                0.67588,                 2.4238,                0.95137,             3.9696e-05,             3.9696e-05,             3.9696e-05
                     79,                0.51921,                 1.7737,                0.94145,                0.97628,                0.91109,                0.94533,                0.72875,                0.68844,                 2.4429,                0.95242,             3.8043e-05,             3.8043e-05,             3.8043e-05
                     80,                0.51421,                 1.7696,                0.94254,                0.97524,                0.90294,                0.93881,                0.72916,                0.68683,                 2.5002,                0.95193,             3.6389e-05,             3.6389e-05,             3.6389e-05
                     81,                0.51705,                 1.7574,                0.93739,                0.97529,                0.91745,                 0.9469,                0.73003,                0.68555,                  2.453,                0.95211,             3.4736e-05,             3.4736e-05,             3.4736e-05
                     82,                0.51689,                 1.7634,                0.93943,                0.95746,                0.90035,                0.93027,                0.72511,                 0.6887,                  2.476,                0.95232,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     83,                0.51552,                 1.7548,                0.93985,                0.95842,                 0.8973,                0.92763,                0.71978,                0.68957,                 2.4763,                0.95198,             3.1429e-05,             3.1429e-05,             3.1429e-05
                     84,                0.50835,                 1.7413,                0.93558,                0.97601,                0.90524,                0.94116,                0.72498,                0.69067,                 2.4587,                0.95184,             2.9776e-05,             2.9776e-05,             2.9776e-05
                     85,                0.50631,                 1.7351,                0.93847,                0.97595,                 0.9164,                0.94705,                0.72899,                0.68825,                 2.5023,                0.95174,             2.8123e-05,             2.8123e-05,             2.8123e-05
                     86,                 0.5065,                 1.7356,                0.94155,                0.95923,                0.90633,                0.93262,                0.72081,                0.68519,                  2.502,                  0.952,              2.647e-05,              2.647e-05,              2.647e-05
                     87,                0.50238,                 1.7197,                0.93774,                0.97824,                0.90811,                0.94379,                0.73627,                0.68607,                 2.4855,                0.95209,             2.4816e-05,             2.4816e-05,             2.4816e-05
                     88,                0.50356,                 1.7211,                0.93955,                0.97668,                0.89664,                0.93583,                0.72519,                0.69613,                 2.4979,                0.95285,             2.3163e-05,             2.3163e-05,             2.3163e-05
                     89,                0.49853,                  1.725,                0.93852,                0.97479,                0.90301,                 0.9384,                0.72825,                0.68815,                 2.5202,                0.95186,              2.151e-05,              2.151e-05,              2.151e-05
                     90,                 0.4946,                 1.7167,                0.93608,                0.97695,                0.90553,                0.94112,                0.72512,                0.68919,                 2.4857,                0.95196,             1.9856e-05,             1.9856e-05,             1.9856e-05
                     91,                0.48119,                 1.6726,                0.94123,                0.95982,                0.89062,                0.92572,                0.71532,                0.69048,                 2.5588,                0.95177,             1.8203e-05,             1.8203e-05,             1.8203e-05
                     92,                  0.474,                 1.6634,                0.93531,                0.96986,                0.90663,                 0.9389,                0.71933,                 0.6894,                 2.5501,                0.95138,              1.655e-05,              1.655e-05,              1.655e-05
                     93,                0.47339,                 1.6605,                0.93795,                 0.9762,                0.90803,                0.94277,                0.72666,                 0.6966,                 2.5379,                0.95249,             1.4896e-05,             1.4896e-05,             1.4896e-05
                     94,                0.46809,                 1.6489,                0.93484,                0.97634,                0.90808,                0.94178,                0.72284,                 0.6919,                 2.5124,                0.95156,             1.3243e-05,             1.3243e-05,             1.3243e-05
                     95,                0.45969,                 1.6269,                0.93691,                0.97464,                0.90877,                0.94228,                0.72187,                0.69675,                 2.5351,                0.95259,              1.159e-05,              1.159e-05,              1.159e-05
                     96,                0.45689,                 1.6195,                0.93579,                0.97604,                0.91253,                0.94538,                0.73114,                0.69448,                 2.5359,                0.95198,             9.9365e-06,             9.9365e-06,             9.9365e-06
                     97,                 0.4533,                 1.6077,                0.93696,                 0.9756,                0.91052,                  0.944,                0.73279,                0.69533,                 2.5262,                0.95192,             8.2832e-06,             8.2832e-06,             8.2832e-06
                     98,                0.45277,                 1.6026,                0.93517,                0.97414,                0.91052,                0.94381,                0.72989,                0.69393,                  2.538,                0.95175,             6.6299e-06,             6.6299e-06,             6.6299e-06
                     99,                0.44957,                 1.5942,                0.93648,                0.97537,                 0.9066,                0.94152,                0.72782,                0.69198,                 2.5199,                0.95199,             4.9766e-06,             4.9766e-06,             4.9766e-06
                    100,                0.45165,                 1.6058,                0.93487,                 0.9768,                0.90891,                 0.9427,                0.72812,                 0.6926,                 2.5275,                0.95168,             3.3233e-06,             3.3233e-06,             3.3233e-06
