                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.714,                 3.7603,                0.93053,                 0.4532,                0.29308,                 0.3016,                0.22638,                 1.1213,                 1.4356,                0.82079,             5.5572e-05,             5.5572e-05,             5.5572e-05
                      2,                 1.1186,                 1.4989,                0.82366,                0.65424,                0.37753,                0.42124,                0.32223,                0.98905,                0.91531,                0.81387,             0.00010904,             0.00010904,             0.00010904
                      3,                 1.0219,                0.99579,                 0.8192,                0.64187,                0.44736,                0.49027,                0.36564,                0.95875,                0.76819,                0.81094,              0.0001603,              0.0001603,              0.0001603
                      4,                0.97031,                0.83721,                0.81271,                  0.638,                0.47131,                0.52104,                0.39338,                0.90628,                0.65638,                0.80648,             0.00015708,             0.00015708,             0.00015708
                      5,                 0.9389,                0.74361,                0.81409,                0.63846,                0.49796,                 0.5441,                0.41634,                0.86897,                0.61015,                0.80468,             0.00015377,             0.00015377,             0.00015377
                      6,                0.92044,                0.66855,                0.80523,                 0.6435,                0.52665,                0.54617,                 0.4193,                0.86129,                0.58621,                0.80309,             0.00015047,             0.00015047,             0.00015047
                      7,                0.89424,                0.64745,                 0.8042,                0.66439,                0.53519,                0.55617,                0.43111,                0.84223,                0.56102,                0.80086,             0.00014716,             0.00014716,             0.00014716
                      8,                0.89875,                0.61147,                0.80538,                0.66363,                0.54317,                0.56107,                0.43065,                0.85076,                0.53356,                0.80196,             0.00014385,             0.00014385,             0.00014385
                      9,                0.85762,                0.55746,                0.80394,                0.64511,                0.55224,                0.57006,                0.43572,                0.85244,                0.52749,                 0.7999,             0.00014055,             0.00014055,             0.00014055
                     10,                0.87094,                0.57003,                0.80159,                0.69321,                0.56062,                0.57891,                0.44363,                0.84217,                0.51762,                0.79803,             0.00013724,             0.00013724,             0.00013724
                     11,                0.85943,                0.54537,                 0.8025,                0.64499,                 0.5799,                0.59536,                0.44925,                0.84521,                0.49809,                0.80023,             0.00013393,             0.00013393,             0.00013393
                     12,                0.85443,                0.53031,                0.80251,                0.68011,                0.61723,                0.62011,                 0.4753,                0.83001,                0.50513,                0.79844,             0.00013063,             0.00013063,             0.00013063
                     13,                0.83309,                0.51991,                 0.7959,                0.66747,                0.60585,                 0.6047,                0.46383,                0.81688,                0.49303,                0.79661,             0.00012732,             0.00012732,             0.00012732
                     14,                0.82436,                 0.5021,                0.79776,                0.72485,                0.57973,                0.61621,                 0.4732,                0.81488,                0.48498,                0.79587,             0.00012401,             0.00012401,             0.00012401
                     15,                0.82623,                0.48558,                0.80007,                0.69599,                0.63044,                0.64444,                0.48927,                0.81585,                0.48009,                0.79576,             0.00012071,             0.00012071,             0.00012071
                     16,                0.81809,                0.46813,                0.80109,                0.69926,                0.67193,                 0.6755,                0.50074,                0.80995,                0.47014,                0.79567,              0.0001174,              0.0001174,              0.0001174
                     17,                0.81623,                0.47359,                0.79975,                0.74216,                0.69738,                0.71681,                0.53869,                0.81688,                0.46575,                0.79636,             0.00011409,             0.00011409,             0.00011409
