                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9862,                 2.6343,                0.87788,                0.72361,                0.32816,                0.38024,                0.25466,                 1.3887,                 1.1445,                0.82831,             5.5581e-05,             5.5581e-05,             5.5581e-05
                      2,                 1.3276,                0.97011,                0.80442,                0.69482,                0.42106,                0.46402,                 0.3137,                  1.248,                0.80853,                0.82166,             0.00010905,             0.00010905,             0.00010905
                      3,                 1.2107,                0.75729,                0.79699,                0.65881,                0.46601,                0.50165,                0.33924,                 1.1832,                0.69447,                0.81859,              0.0001603,              0.0001603,              0.0001603
                      4,                 1.1514,                0.66996,                0.79281,                0.62368,                0.57304,                  0.563,                0.37229,                 1.1609,                0.65271,                0.81722,             0.00015708,             0.00015708,             0.00015708
                      5,                 1.0834,                0.61088,                0.79128,                0.62126,                0.59744,                0.59134,                0.39011,                 1.1444,                0.61085,                0.81567,             0.00015377,             0.00015377,             0.00015377
                      6,                 1.0572,                0.57118,                0.78944,                0.65379,                0.63007,                0.62356,                0.40541,                 1.0997,                 0.5995,                0.81454,             0.00015047,             0.00015047,             0.00015047
                      7,                 1.0314,                0.53886,                0.78805,                0.69622,                0.64902,                0.66746,                0.43096,                 1.1091,                0.58981,                0.81463,             0.00014716,             0.00014716,             0.00014716
                      8,                 1.0105,                 0.5205,                0.78796,                0.76276,                0.66351,                0.70917,                0.45109,                 1.0958,                 0.5566,                0.81387,             0.00014385,             0.00014385,             0.00014385
                      9,                0.98471,                0.49955,                0.78513,                0.77071,                0.69298,                0.72688,                0.47421,                 1.0754,                0.55433,                0.81222,             0.00014055,             0.00014055,             0.00014055
                     10,                0.98445,                0.50093,                0.78346,                0.76333,                0.66961,                0.70039,                0.45376,                 1.0826,                0.56359,                0.81257,             0.00013724,             0.00013724,             0.00013724
                     11,                 0.9757,                0.49392,                0.78514,                0.82708,                 0.7546,                0.78554,                0.51526,                 1.0751,                0.55372,                 0.8113,             0.00013393,             0.00013393,             0.00013393
                     12,                0.94791,                0.47215,                0.78247,                 0.8184,                0.75152,                0.78649,                0.50969,                 1.0751,                0.54432,                0.81079,             0.00013063,             0.00013063,             0.00013063
                     13,                0.94442,                0.46506,                0.78016,                0.80441,                0.78014,                0.80984,                0.51631,                 1.0782,                0.54125,                 0.8111,             0.00012732,             0.00012732,             0.00012732
                     14,                0.91843,                0.45449,                 0.7812,                0.82793,                0.79745,                0.83773,                0.55109,                 1.0528,                0.52482,                0.81002,             0.00012401,             0.00012401,             0.00012401
                     15,                0.91815,                0.45211,                0.77983,                0.78401,                0.70297,                0.73944,                0.47244,                 1.0594,                0.52583,                   0.81,             0.00012071,             0.00012071,             0.00012071
                     16,                0.89587,                0.44289,                0.78071,                0.83843,                0.82508,                0.84475,                0.56317,                  1.056,                0.51492,                0.80981,              0.0001174,              0.0001174,              0.0001174
                     17,                0.89155,                0.43628,                0.78062,                  0.905,                0.80233,                0.85783,                0.57491,                 1.0643,                0.53915,                0.81079,             0.00011409,             0.00011409,             0.00011409
                     18,                 0.8805,                0.43196,                0.77827,                0.88254,                0.84495,                0.86559,                0.56996,                 1.0712,                0.51801,                0.80892,             0.00011079,             0.00011079,             0.00011079
                     19,                0.85705,                0.41824,                0.77746,                0.87323,                0.83014,                 0.8612,                0.56294,                 1.0737,                0.52028,                 0.8102,             0.00010748,             0.00010748,             0.00010748
                     20,                0.85184,                 0.4136,                0.77759,                0.91667,                0.81505,                0.87459,                0.58116,                 1.0723,                0.51352,                0.80988,             0.00010417,             0.00010417,             0.00010417
                     21,                0.83706,                0.40484,                0.77649,                0.91491,                0.81775,                0.87738,                0.59296,                 1.0627,                0.51315,                0.80927,             0.00010087,             0.00010087,             0.00010087
                     22,                0.82946,                0.40644,                0.77537,                0.92279,                0.83967,                0.88561,                0.58489,                 1.0736,                0.52094,                0.80929,             9.7561e-05,             9.7561e-05,             9.7561e-05
                     23,                0.82896,                0.40479,                0.77527,                0.88667,                 0.8679,                0.88946,                0.58803,                  1.067,                0.51187,                0.80865,             9.4255e-05,             9.4255e-05,             9.4255e-05
